tm_player_id,fotmob_player_id,fotmob_name,tm_name,status
473169,940446,Brian Brobbey,Brian Brobbey,matched
743384,1368654,Chemsdine Talbi,Chemsdine Talbi,matched
876631,1285866,Habib Diarra,Habib Diarra,matched
494237,887703,Wilson Isidor,Wilson Isidor,matched
947411,1327319,Chris Rigg,Chris Rigg,matched
123536,1227012,Simon Adingra,Simon Moore,unmatched
282939,480253,Luke O'Nien,Luke O'Nien,matched
696181,1123947,Romaine Mundle,Romaine Mundle,matched
605426,1186615,Melker Ellborg,Melker Ellborg,matched
633992,1203192,Jenson Seelt,Enzo Le Fée,unmatched
727089,418137,Arthur Masuaku,Noah Sadiki,unmatched
1322090,1690655,Jocelin Ta Bi,Jocelin Ta Bi,matched
473169,434498,Alan Browne,Brian Brobbey,unmatched
937840,968912,Anthony Patterson,Harrison Jones,unmatched
633992,1222770,Leo Hjelde,Enzo Le Fée,unmatched
654412,963940,Ajibola Alese,Abdoullah Ba,unmatched
420210,1448407,Trey Ogunsuyi,Lutsharel Geertruida,unmatched
696181,277771,Thomas Meunier,Romaine Mundle,unmatched
494237,1342756,Luís Semedo,Wilson Isidor,unmatched
1060087,1782648,Zadok Yohanna,Charalampos Kostoulas,unmatched
565093,1131987,Bart Verbruggen,Bart Verbruggen,matched
369316,774448,Ferdi Kadioglu,Ferdi Kadıoğlu,matched
82873,796974,Pascal Struijk,Pascal Groß,unmatched
148153,201690,Lewis Dunk,Lewis Dunk,matched
1012534,1400227,Yankuba Minteh,Yankuba Minteh,matched
67063,113836,Danny Welbeck,Danny Welbeck,matched
996897,1354561,Diego Gómez,Diego Gómez,matched
667287,1168311,Yasin Ayari,Yasin Ayari,matched
415381,970243,Mats Wieffer,Mats Wieffer,matched
538977,956925,Georginio Rutter,Georginio Rutter,matched
867688,1251334,Jack Hinshelwood,Jack Hinshelwood,matched
504849,862608,Kaoru Mitoma,Kaoru Mitoma,matched
973085,1352713,Carlos Baleba,Carlos Baleba,matched
82873,167008,Pascal Groß,Pascal Groß,matched
429915,1134871,Maxim De Cuyper,Maxim De Cuyper,matched
318508,613715,Olivier Boscagli,Olivier Boscagli,matched
1060087,1561249,Charalampos Kostoulas,Charalampos Kostoulas,matched
406634,866686,Matthew O'Riley,Matt O'Riley,nickname
950091,1423616,Stefanos Tzimas,Stefanos Tzimas,matched
380350,768331,Igor Julio,Igor Julio,matched
538977,1336566,Facundo Buonanotte,Georginio Rutter,unmatched
415381,1310131,Tom Watson,Mats Wieffer,unmatched
973085,1187236,Carl Rushworth,Carlos Baleba,unmatched
576314,1127305,Eiran Cashin,Jan Paul van Hecke,unmatched
380350,1602352,Malick Junior Yalcouyé,Igor Julio,unmatched
111195,1215410,Ibrahim Osman,Joël Veltman,unmatched
667287,1254170,Amario Cozier-Duberry,Yasin Ayari,unmatched
209212,1435604,Mark O'Mahony,Solly March,unmatched
148153,1413996,Luka Vuskovic,Lewis Dunk,unmatched
1060087,1079456,Costinha,Charalampos Kostoulas,unmatched
111195,1068482,Evan Ferguson,Joël Veltman,unmatched
867688,951921,Michael Svoboda,Jack Hinshelwood,unmatched
473050,1572340,Jannik Schuster,Kevin Schade,unmatched
339556,1478706,Benjamin Fredrick,Rico Henry,unmatched
1011936,1413853,Kaye Furo,Kaye Furo,matched
340918,776689,Caoimhín Kelleher,Caoimhín Kelleher,matched
