player_name,club,minutes_played,npxg_per90,xa_per90,shots_on_target_per90,progressive_passes_per90,successful_dribbles_per90,pass_completion_percentage,tackles_interceptions_per90,aerial_duels_won_percentage,ball_recoveries_per90,fouls_committed_per90
Diego Carlos,Aston Villa,828,0.07065217391304349,0.009782608695652175,0.10869565217391305,3.2608695652173916,0.2173913043478261,89.0,1.4130434782608696,50.0,3.91304347826087,1.1956521739130437
Jaden Philogene-Bidace,Ipswich Town,804,0.2720149253731343,0.03805970149253732,0.6716417910447761,6.716417910447761,1.007462686567164,77.66,4.253731343283582,38.46,4.925373134328358,2.2388059701492535
Rasmus Højlund,Manchester United,2022,0.23323442136498518,0.04718100890207716,0.5786350148367952,4.050445103857567,0.40059347181008903,76.31,0.2225519287833828,24.6,1.5578635014836797,0.7566765578635015
Cheick Doucouré,Crystal Palace,462,0.07792207792207792,0.021428571428571425,0.0,6.8181818181818175,0.3896103896103896,85.71,5.259740259740259,50.0,6.038961038961038,1.3636363636363635
Tim Iroegbunam,Everton,582,0.03711340206185567,0.020103092783505156,0.0,4.793814432989691,1.2371134020618557,74.19,6.958762886597938,73.33,7.886597938144329,2.319587628865979
Adam Smith,Bournemouth,1604,0.036471321695760596,0.03815461346633416,0.0,6.172069825436409,0.33665835411471323,78.71,2.1882793017456357,48.28,2.8054862842892767,1.0660847880299251
Jack Taylor,Ipswich Town,846,0.07872340425531915,0.0851063829787234,0.425531914893617,7.446808510638298,0.425531914893617,83.82,3.085106382978723,46.67,5.638297872340425,1.702127659574468
James Bree,Southampton,1078,0.009183673469387756,0.05844155844155844,0.08348794063079777,7.7643784786641925,0.3339517625231911,86.49,2.3376623376623376,65.0,5.426716141001855,0.3339517625231911
Michail Antonio,West Ham United,844,0.23672985781990522,0.09917061611374407,0.42654028436018954,4.691943127962085,0.9597156398104265,70.78,0.21327014218009477,43.59,2.3459715639810423,1.2796208530805686
Kalvin Phillips,Ipswich Town,1239,0.031234866828087165,0.03486682808716707,0.14527845036319612,7.627118644067796,0.3631961259079903,81.06,3.922518159806295,26.67,4.939467312348668,2.0338983050847457
Hwang Hee-chan,Wolverhampton,661,0.10892586989409986,0.04493192133131619,0.4084720121028744,8.305597579425115,0.2723146747352496,83.6,1.0892586989409985,25.0,3.812405446293495,0.8169440242057489
Jarell Quansah,Liverpool FC,496,0.018145161290322582,0.036290322580645164,0.0,6.350806451612903,0.1814516129032258,91.53,3.4475806451612905,41.18,3.4475806451612905,1.6330645161290323
Kamaldeen Sulemana,Southampton,1427,0.09397337070777856,0.05360896986685353,0.5045550105115627,7.063770147161878,2.459705676243868,83.84,1.7659425367904695,32.5,3.9733707077785563,1.3875262789067975
Morato,Nottingham Forest,922,0.017570498915401304,0.0039045553145336228,0.09761388286334058,3.2212581344902387,0.19522776572668116,77.63,3.1236442516268985,30.0,3.5140997830802605,1.0737527114967462
Sammie Szmodics,Ipswich Town,1001,0.3065934065934066,0.04135864135864136,1.078921078921079,3.8661338661338664,0.3596403596403597,77.01,1.978021978021978,35.29,3.7762237762237763,0.8091908091908092
Patson Daka,Leicester City,736,0.15285326086956522,0.009782608695652175,0.48913043478260876,3.423913043478261,0.24456521739130438,73.91,2.4456521739130435,30.0,2.2010869565217392,1.8342391304347827
Conor Coady,Leicester City,1732,0.022344110854503465,0.02702078521939954,0.10392609699769054,2.2863741339491916,0.05196304849884527,91.47,1.351039260969977,37.14,3.2217090069284064,0.41570438799076215
Axel Tuanzebe,Ipswich Town,1717,0.010483401281304601,0.014676761793826442,0.0,7.33838089691322,0.209668025626092,86.14,2.830518345952242,56.1,2.568433313919627,0.891089108910891
Tariq Lamptey,Brighton & Hove Albion,869,0.04039125431530495,0.08181818181818183,0.20713463751438435,5.385500575373993,1.0356731875719218,87.04,2.4856156501726123,6.25,4.039125431530495,1.5535097813578826
Wilson Odobert,Tottenham Hotspur,849,0.1706713780918728,0.08056537102473497,0.42402826855123676,10.070671378091873,1.2720848056537102,84.77,1.9081272084805654,33.33,3.604240282685512,0.21201413427561838
Will Smallbone,Southampton,695,0.0725179856115108,0.11784172661870504,0.12949640287769784,8.546762589928058,0.5179856115107914,82.48,2.8489208633093526,40.0,2.9784172661870505,1.4244604316546763
Oliver Skipp,Leicester City,1143,0.028346456692913385,0.02598425196850394,0.07874015748031496,5.511811023622047,0.5511811023622047,84.44,2.5196850393700787,66.67,3.6220472440944884,1.6535433070866143
Lamare Bogarde,Aston Villa,481,0.007484407484407485,0.024324324324324326,0.18711018711018712,7.484407484407485,0.37422037422037424,88.14,2.806652806652807,50.0,2.4324324324324325,1.496881496881497
Ben Brereton Díaz,Southampton,458,0.17882096069868997,0.02751091703056769,0.19650655021834063,11.593886462882097,0.19650655021834063,79.25,0.5895196506550219,56.25,3.14410480349345,0.7860262008733625
Archie Gray,Tottenham Hotspur,1764,0.001020408163265306,0.01020408163265306,0.0510204081632653,4.183673469387755,0.3571428571428571,89.34,1.7857142857142856,50.0,3.520408163265306,0.8673469387755102
Bobby De Cordova-Reid,Leicester City,788,0.09022842639593909,0.0182741116751269,0.3426395939086294,5.710659898477156,0.0,75.14,1.0279187817258881,30.0,3.312182741116751,1.0279187817258881
Nathaniel Clyne,Crystal Palace,504,0.0035714285714285718,0.044642857142857144,0.0,4.107142857142858,0.0,77.83,2.678571428571429,12.5,1.7857142857142858,0.35714285714285715
Ben Johnson,Ipswich Town,1366,0.06983894582723281,0.05666178623718887,0.19765739385065886,4.282576866764275,0.527086383601757,77.81,3.3601756954612005,51.35,3.7554904831625184,1.7789165446559299
Taiwo Awoniyi,Nottingham Forest,477,0.4,0.022641509433962263,0.7547169811320755,4.90566037735849,0.7547169811320755,64.89,1.1320754716981132,26.92,3.3962264150943398,1.509433962264151
Cameron Archer,Southampton,1452,0.306198347107438,0.04524793388429752,0.6818181818181819,4.028925619834711,0.9297520661157025,83.0,0.9297520661157025,23.08,2.169421487603306,0.9917355371900827
Julián Araujo,Bournemouth,516,0.0,0.01744186046511628,0.0,7.5,0.0,81.68,2.7906976744186047,25.0,5.058139534883721,1.2209302325581395
Leo Román,Mallorca,630,0.0,0.002857142857142857,0.0,1.5714285714285714,0.14285714285714285,53.6,0.0,100.0,7.142857142857143,0.0
Raphinha,FC Barcelona,2844,0.5639240506329114,0.3199367088607595,1.360759493670886,16.170886075949365,1.6455696202531644,79.46,1.4873417721518987,60.0,2.9746835443037973,0.3481012658227848
Lamine Yamal,FC Barcelona,2861,0.3085983921705698,0.36522195036700456,1.4785040195735757,19.912617965746243,5.06466270534778,78.93,1.8245368752184552,25.0,3.869276476756379,0.9437259699405802
Kylian Mbappé,Real Madrid,2915,0.5838421955403088,0.20346483704974272,2.6243567753001718,17.691252144082334,2.562607204116638,85.28,0.27787307032590053,40.0,1.1114922813036021,0.7718696397941681
Pedri,FC Barcelona,2892,0.06784232365145229,0.2800829875518672,0.34232365145228216,28.568464730290458,1.2448132780082988,89.03,2.70746887966805,53.85,7.904564315352697,0.3112033195020747
Isco,Real Betis,1551,0.22862669245647965,0.22398452611218567,0.8704061895551257,26.286266924564796,1.5667311411992262,86.21,1.7988394584139265,37.14,4.119922630560928,1.3346228239845261
Alex Baena,Villarreal,2602,0.22136817832436584,0.43512682551883164,0.622598001537279,12.140661029976942,0.7263643351268255,74.02,1.7294388931591083,45.95,4.842428900845503,1.4873174481168332
Federico Valverde,Real Madrid,3032,0.07895778364116095,0.09379947229551451,0.6530343007915567,16.47427440633245,0.47493403693931396,91.12,3.116754617414248,62.79,5.16490765171504,0.35620052770448546
Jude Bellingham,Real Madrid,2494,0.35870088211708095,0.1623897353648757,0.8299919807538091,17.646351242983158,1.4795509222133119,87.54,3.2117080994386527,48.39,3.5004009623095427,1.1908580593424218
Giovani Lo Celso,Real Betis,1455,0.15030927835051544,0.32164948453608244,1.1752577319587627,19.85567010309278,1.2989690721649483,84.82,2.4123711340206184,31.25,4.701030927835051,0.8041237113402061
Antony,Real Betis,1364,0.18936950146627568,0.19134897360703812,1.121700879765396,20.58651026392962,1.5835777126099708,84.02,2.309384164222874,26.32,4.816715542521995,0.9897360703812317
Rodrygo,Real Madrid,1937,0.1858544140423335,0.19468249870934437,0.9292720702116676,22.16313887454827,2.2767165720185853,90.91,1.486835312338668,30.43,3.29891584925142,0.371708828084667
Joan García,Espanyol,3420,0.001842105263157895,0.001842105263157895,0.02631578947368421,1.263157894736842,0.0,66.95,0.0,95.83,10.31578947368421,0.0
Luka Modrić,Real Madrid,1830,0.07622950819672132,0.30836065573770494,0.29508196721311475,29.95081967213115,0.6885245901639344,91.33,2.8524590163934427,31.58,5.163934426229509,1.1311475409836067
Vinícius Júnior,Real Madrid,2257,0.33296411165263623,0.2783340717766947,1.1165263624280017,15.272485600354452,3.2698272042534335,79.03,0.9570225963668586,12.5,2.83119184758529,1.1962782454585732
Dani Olmo,FC Barcelona,1222,0.3645662847790507,0.27250409165302786,1.2520458265139116,15.687397708674304,1.6939443535188217,83.33,1.3993453355155483,50.0,3.3878887070376433,1.546644844517185
