player_id,team_id,name,season_type
1847899,10076,Joaquín Freitas,1
1233748,89396,David Romero,1
1242173,213591,Tobías Ostchega,1
1899032,10077,Tomás Aranda,1
981079,10080,Matko Miljevic,1
1432908,298629,Nicólas Watson,1
1315102,10094,Santiago Núñez,1
615788,202757,Mauricio Martínez,1
1683398,10081,Ignacio Campo,1
974894,10077,Marcelo Weigandt,1
845263,10080,Franco Pardo,1
1219978,568727,Ulises Sánchez,1
1274326,10080,Adrián Fernández,1
1783366,10101,Giovanni Baroni,1
564614,10092,Lucas Passerini,1
1647589,10078,Lautaro Millán,1
193937,10080,Bruno Zuculini,1
529351,161727,Ezequiel Ham,1
962674,298629,Alexander Díaz,1
1435714,10078,Santiago Gabriel Montiel,1
543317,10101,Franco Cristaldo,1
1783627,10201,Jerónimo Gómez Mattar,1
161035,10080,Marcos Rojo,1
1520633,89396,Valentín Moreno,1
1736527,10101,Alexandro Maidana,1
209304,161728,Lucas Rodríguez,1
723495,213591,Facundo Cobos,1
955274,161727,Gianluca Ferrari,1
1439476,10089,Eugenio Raggio,1
1250316,161728,Santiago Moya,1
1643789,202757,Agustín Seyral,1
1516002,213596,Tiago Cravero,1
874622,161728,Nicolás Linares,1
521334,161728,Junior Arias,1
1609268,213534,Kevin Jappert,1
1213652,10077,Juan Barinaga,1
623986,10094,Alexis Castro,1
930564,213591,Alejandro Cabrera,1
129326,10090,Franco Jara,1
1256244,10082,Felipe Peña Biafore,1
1057439,10089,Nicolás Retamar,1
390758,10079,Diego Valdés,1
845370,10077,Adam Bareiro,1
630500,10078,Leonardo Godoy,1
1132245,10092,Santiago Longo,1
522203,10092,Federico Ricca,1
113608,202757,Diego Churín,1
924959,10094,Edwuin Cetré,1
727099,10084,Facundo Mallo,1
1652019,10092,Ramiro Hernandes,1
1200656,161727,Javier Dominguez,1
725483,161729,Luciano Gómez,1
1609504,89396,Tiago Serrago,1
1575797,10086,Kevin Coronel,1
529092,213534,Rafael Barrios,1
571621,161728,Roberto Bochi,1
1139354,202757,Renzo Orihuela,1
1362517,161729,Rodrigo Atencio,1
1295032,10101,Mateo Cáceres,1
921749,10201,Matías Cóccaro,1
809620,10089,Leonardo Heredia,1
1447884,10087,Tomás Adoryán,1
1243610,213596,Fernando Martínez,1
1000411,161728,Joaquín Novillo,1
972814,10083,Manuel Insaurralde,1
1400295,89396,Elías Cabrera,1
1362433,10080,Baltasar Rodríguez,1
964376,213591,Mauro Valiente,1
316878,10086,Érik Godoy,1
207617,10076,Juan Quintero,1
1458737,10082,Ronaldo Dejesús,1
1304246,10086,Emiliano Viveros,1
1268082,568727,Matías Recalde,1
748843,10092,Francisco González Metilli,1
1752409,568727,Valentino Simoni,1
1339423,10081,Juan Bisanz,1
1074976,10080,Nazareno Colombo,1
1408244,213534,Gonzalo Morales,1
561737,10082,Marcelino Moreno,1
1299451,10078,Juan Fedorco,1
210706,10201,Gabriel Arias,1
1436221,161728,Alan Sosa,1
1337229,213596,Juan Pablo Pignani,1
847986,10090,Ignacio Méndez,1
274528,10081,Óscar Romero,1
426353,161727,Leonel Di Plácido,1
847984,10077,Tomás Belmonte,1
788656,213534,Norberto Briasco,1
845709,202757,Yair Arismendi,1
690398,568727,Santiago Rodríguez,1
655751,213596,Horacio Tijanovich,1
1821854,10078,Mateo Pérez Curci,1
1441888,298629,Mariano Bracamonte,1
566260,10082,Walter Bou,1
1437343,568727,Nahuel Barboza,1
1276546,10103,Franco Torres,1
770895,10089,Iván Gómez,1
1729352,10083,Teo Pagano,1
1366607,10083,Gregorio Rodríguez,1
857571,568727,Imanol González,1
1813200,161727,Gabriel Abeldaño,1
566259,161729,Ezequiel Bonifacio,1
742681,298629,Miguel Barbieri,1
647991,10101,Gabriel Báez,1
1751917,10083,Lautaro Montenegro,1
1110568,10090,Matías Fonseca,1
1320444,161729,Álex Arce,1
957219,213534,Elías Pereyra,1
1695460,10101,Valentín Dávila,1
740126,10089,Bautista Merlini,1
1648046,10086,Diego Porcel,1
309693,10084,Pol Fernández,1
1410456,161730,Esteban Lucero,1
994918,161728,Tomás Fernández,1
1634835,568727,Julián Ceballos,1
840184,10076,Matías Viña,1
489072,213534,Gastón Campi,1
1643843,10201,Josué Reinatti,1
1499651,10082,Dylan Aquino,1
1451719,298629,Gabriel Obredor,1
1562792,568727,Esteban Fernández,1
1404859,10078,Maximiliano Gutiérrez,1
1020944,202757,Carlos Villalba,1
1565749,213596,Yuri Casermeiro,1
1661711,161727,Lautaro Godoy,1
724456,298629,Matías García,1
939965,89396,Martín Garay,1
1695062,10081,Máximo Palazzo,1
1709096,10089,Tomás Nasif,1
185625,10101,José Luis Palomino,1
832032,10082,Matías Sepúlveda,1
1437199,213596,Juan Cardozo,1
1644112,10092,Juan Velázquez,1
938003,10077,Malcom Braida,1
1110044,10077,Exequiel Zeballos,1
306504,213534,Damián Martínez,1
447095,10080,Agustín Basso,1
1413189,89396,Jabes Saralegui,1
1082758,10201,Oscar Salomón,1
1230664,10083,Gonzalo Abrego,1
1685811,10087,Santiago Esquivel,1
150701,202757,Jonatan Gómez,1
1662973,10089,Felipe Bussio,1
1133119,10080,Gastón Martirena,1
497597,161728,Franco Leys,1
1030998,10089,Gonzalo Lencina,1
1364125,10094,Fabricio Iacovich,1
864260,10090,Nicolás Guerra,1
