player_name,club,minutes_played,npxg_per90,xa_per90,shots_on_target_per90,progressive_passes_per90,successful_dribbles_per90,pass_completion_percentage,tackles_interceptions_per90,aerial_duels_won_percentage,ball_recoveries_per90,fouls_committed_per90,date_of_birth,country_of_citizenship,transfermarkt_position,preferred_foot,height_in_cm,player_photo_url,market_value_in_eur,stats_vector
Alessio Romagnoli,Lazio,2674,0.0659685863874345,0.0090875093492894,0.269259536275243,4.510097232610321,0.0336574420344053,91.96,2.4906507105459985,64.44,3.231114435302917,0.976065818997756,12/01/1995 00:00,Italy,Defender,left,185.0,https://img.a.transfermarkt.technology/portrait/header/197747-1730125586.jpg?lm=1,7000000,"[0.06940303006413491, 0.014478099134821367, 0.09994390426327598, 0.13062087973855355, 0.005357929245975424, 0.9323245060949978, 0.35791573173772123, 0.716, 0.3430034722449457, 0.19608077786088252]"
Eljif Elmas,Torino,1025,0.1299512195121951,0.0974634146341463,0.8780487804878049,9.482926829268292,1.1414634146341462,83.72,1.4048780487804875,40.0,2.897560975609756,1.1414634146341462,24/09/1999 00:00,North Macedonia,Midfield,right,184.0,https://img.a.transfermarkt.technology/portrait/header/400489-1709127683.jpg?lm=1,20000000,"[0.13671671455421372, 0.18689990789246422, 0.32591463414634153, 0.2941442232384831, 0.18170959653521768, 0.7591424968474147, 0.20188617886178856, 0.4444444444444445, 0.29611231678940503, 0.22930731707317067]"
Antonino Gallo,Lecce,2615,0.008604206500956,0.0932695984703632,0.1032504780114722,5.954110898661567,0.4474187380497131,70.45,2.925430210325048,41.27,3.9923518164435934,0.4130019120458891,05/01/2000 00:00,Italy,Defender,left,183.0,https://img.a.transfermarkt.technology/portrait/header/392516-1663745734.jpg?lm=1,4000000,"[0.009052157021476197, 0.1787177527425308, 0.03832456978967493, 0.178104900283111, 0.07122460284841228, 0.48024379991593125, 0.4203951561504143, 0.4585555555555556, 0.450018702758437, 0.08296749521988526]"
Danilo Cataldi,Fiorentina,1768,0.0498868778280542,0.0391968325791855,0.254524886877828,7.635746606334841,0.1527149321266968,86.16,2.392533936651584,54.55,5.80316742081448,0.7635746606334841,06/08/1994 00:00,Italy,Midfield,right,180.0,https://img.a.transfermarkt.technology/portrait/header/199733-1661513736.jpg?lm=1,3500000,"[0.05248407873062685, 0.0732215310129303, 0.09447468891402715, 0.23340273185417684, 0.024310694802723385, 0.8104245481294661, 0.34381598793363505, 0.6061111111111112, 0.7045843009806373, 0.15339366515837102]"
Hernani,Parma,1329,0.0338600451467268,0.0873589164785553,0.4063205417607223,9.413092550790068,0.5417607223476297,78.5,4.469525959367946,48.65,4.604966139954853,2.234762979683973,27/03/1994 00:00,Brazil,Midfield,both,188.0,https://img.a.transfermarkt.technology/portrait/header/181768-1686211173.jpg?lm=1,1500000,"[0.035622860212430815, 0.16718598425049847, 0.15081828442437925, 0.2918478375518835, 0.08624290626780025, 0.6494325346784364, 0.6422874341610233, 0.5405555555555556, 0.536140410218713, 0.44893905191873584]"
Kristjan Asllani,Inter,1007,0.0822244289970208,0.1662363455809334,0.4468718967229395,12.065541211519363,0.0893743793445878,92.01,2.055610724925521,50.0,4.379344587884806,0.804369414101291,09/03/2002 00:00,Albania,Midfield,right,179.0,https://img.a.transfermarkt.technology/portrait/header/543771-1716969431.jpg?lm=1,13000000,"[0.08650518118080429, 0.3210762210989706, 0.16587015888778556, 0.3790692604930317, 0.014227510232113511, 0.9333753678015975, 0.29539887454485264, 0.5555555555555556, 0.5044223903187868, 0.16158887785501488]"
Artem Dovbyk,AS Roma,2430,0.3959259259259259,0.0574074074074074,1.0,5.444444444444445,0.2592592592592592,74.94,0.2222222222222222,41.75,0.9629629629629628,1.1111111111111112,21/06/1997 00:00,Ukraine,Attack,left,189.0,https://img.a.transfermarkt.technology/portrait/header/343537-1719215184.jpg?lm=1,20000000,"[0.4165385442523519, 0.10875044854172691, 0.3711805555555556, 0.16134535502956993, 0.04127148955809391, 0.5746111811685581, 0.03193415637860082, 0.4638888888888889, 0.024145309646229476, 0.22320987654320987]"
Alieu Fadera,Como,1667,0.0923215356928614,0.1036592681463707,0.4859028194361128,8.206358728254349,1.4037192561487704,77.14,4.103179364127175,42.31,5.128974205158968,2.159568086382724,03/11/2001 00:00,The Gambia,Attack,right,182.0,https://img.a.transfermarkt.technology/portrait/header/749552-1753767931.jpg?lm=1,2500000,"[0.09712796147590674, 0.19898804736817013, 0.18035767846430717, 0.2521663754104684, 0.2234581121158946, 0.6208490962589324, 0.5896420715856829, 0.47011111111111115, 0.6098057940766609, 0.43383323335332935]"
Máximo Perrone,Como,1859,0.04308768154922,0.0818181818181818,0.0968262506724045,10.457235072619689,0.1452393760086067,90.98,2.807961269499731,40.74,4.647660032275417,1.2587412587412588,07/01/2003 00:00,Argentina,Midfield,left,177.0,https://img.a.transfermarkt.technology/portrait/header/668547-1681246573.jpg?lm=1,25000000,"[0.04533090402137209, 0.1563759847499733, 0.035940021516944594, 0.32618275149600406, 0.023120660791401255, 0.9117276166456494, 0.403514434283665, 0.4526666666666667, 0.5421423444922994, 0.25286713286713286]"
David Neres,SSC Napoli,1294,0.1870942812982998,0.2218701700154559,0.4868624420401855,10.850077279752703,2.295208655332303,86.06,1.947449768160742,21.43,3.6166924265842346,0.973724884080371,03/03/1997 00:00,Brazil,Attack,left,176.0,https://img.a.transfermarkt.technology/portrait/header/469822-1701334470.jpg?lm=1,28000000,"[0.19683474727672717, 0.4296180754221215, 0.18071387171561054, 0.3391007230310542, 0.36537433734417657, 0.8083228247162673, 0.2798557444616177, 0.2381111111111111, 0.39720826911930435, 0.19561051004636784]"
