tm_player_id,fotmob_player_id,fotmob_name,tm_name,fallback
336367,574448,Joe Lumley,Joe Lumley,Yes
324882,541330,Marvelous Nakamba,Marvelous Nakamba,No
1122295,1799270,William Grainger,William Grainger,Yes
1224170,1799261,Joe Emery,Joe Emery,Fixed
1099500,1879530,Devlan Moses,Devlan Moses,Fixed
247666,398992,Ricardo Santos,Ricardo Santos,Fixed
1298435,1668970,Favour Onukwuli,Favour Onukwuli,Fixed
1099501,1797866,Bruno Fernandes,Bruno Fernandes,Fixed
271997,610270,Callum Elder,Callum Elder,Yes
559172,1195742,Jayden Fevrier,Jayden Fevrier,Yes
267113,679315,Macaulay Gillesphey,Macaulay Gillesphey,Yes
378872,612180,Kayden Jackson,Kayden Jackson,No
425713,780818,Akin Famewo,Akin Famewo,Yes
257097,424609,Ben Davies,Ben Davies,Fixed
978668,1416710,Joe Knight,Joe Knight,No
77274,127133,Matthew Phillips,Matt Phillips,Nickname Match
916542,1119806,Millenic Alli,Millenic Alli,Yes
351261,608535,Jerry Yates,Jerry Yates,Yes
1113528,1474555,Christ Makosso,Christ Makosso,Yes
258216,740171,Kasey Palmer,Kasey Palmer,No
921746,1335694,Murphy Cooper,Murphy Cooper,Yes
526694,865934,Wes Harding,Wes Harding,No
538963,1074758,Ruben Roosken,Ruben Roosken,Yes
96173,199276,Michael Smith,Michael Smith,Fixed
90836,156013,Steve Cook,Steve Cook,Yes
469958,802245,Jacob Brown,Jacob Brown,Yes
533523,1086650,Haydon Roberts,Haydon Roberts,No
720695,1520401,Tommy Simkin,Tommy Simkin,Yes
690548,1076693,Joe Walsh,Joe Walsh,Yes
1047258,1407241,Hindolo Mustapha,Hindolo Mustapha,Yes
206225,489627,Isaac Hayden,Isaac Hayden,Yes
342050,774332,Nathan Baxter,Nathan Baxter,Yes
985693,1418089,Favour Fawunmi,Favour Fawunmi,Yes
610621,1109490,James Morris,James Morris,No
109751,229711,Onel Hernández,Onel Hernández,No
341993,760400,Elliott Moore,Elliott Moore,No
148299,201787,Curtis Nelson,Curtis Nelson,No
526347,823127,Macaulay Langstaff,Macaulay Langstaff,Yes
1047463,1578415,Sydney Agina,Sydney Agina,Yes
871160,1420268,Rio Shipston,Rio Shipston,Yes
982097,1346113,Shumaira Mheuka,Shumaira Mheuka,No
1011140,1575707,Jack Fletcher,Jack Fletcher,No
926309,1436260,Shea Lacey,Shea Lacey,No
1049911,1676985,Tyler Fletcher,Tyler Fletcher,No
911424,1403351,Tyler Fredricson,Tyler Fredricson,No
622236,1360352,Radek Vítek,Radek Vítek,Fixed
1047280,1463282,Divine Mukasa,Divine Mukasa,Yes
670848,1203658,Divin Mubama,Divin Mubama,Yes
1049020,1613300,Stephen Mfuni,Stephen Mfuni,Yes
1045124,1453338,Jay Robinson,Jay Robinson,Yes
866656,1310115,Cameron Bragg,Cameron Bragg,No
1108782,1797467,Barnaby Williams,Barnaby Williams,No
1081149,1448527,Nicholas Oyekunle,Nicholas Oyekunle,No
1045123,1436258,Trey Nyoni,Trey Nyoni,Yes
922462,1364042,Lewis Koumas,Lewis Koumas,Yes
670861,1249634,Luke Chambers,Luke Chambers,Yes
985546,1431275,Callum Olusesi,Callum Olusesi,No
999743,1531854,James Rowswell,James Rowswell,No
1078155,1692116,Louis Page,Louis Page,Yes
1135364,1580249,Olabade Aluko,Olabade Aluko,Yes
1120514,1456394,Kevon Gray,Kevon Gray,No
1047257,1422586,Rio Cardines,Rio Cardines,Yes
1023191,1607333,George Hemmings,George Hemmings,No
1202361,1639163,Bradley Burrowes,Bradley Burrowes,Yes
954105,1557236,Jamaldeen Jimoh-Aloba,Jamaldeen Jimoh-Aloba,Yes
1067168,1446616,Harry Howell,Harry Howell,No
914269,1526697,Nehemiah Oriola,Nehemiah Oriola,No
922563,1315319,Ollie Scarles,Oliver Scarles,Nickname Match
1107726,1624950,Ezra Mayers,Ezra Mayers,No
1081995,1529203,Mohamadou Kanté,Mohamadou Kanté,No
652797,1207956,Micah Hamilton,Micah Hamilton,Yes
865972,1469816,George McCormick,George McCormick,No
933017,1296769,Zach Abbott,Zach Abbott,No
1212264,1692751,Raphael-Pijus Otegbayo,Pijus Otegbayo,Fixed
1071818,1443841,Sean Neave,Sean Neave,No
900601,1362341,Alex Murphy,Alex Murphy,Yes
1065227,1469210,Tom Edozie,Tom Edozie,No
1172824,1580235,Errol Mundle-Smith,Errol Mundle-Smith,No
1085929,1469339,Owen Eames,Owen Eames,Yes
1005845,1469204,Cruz Allen,Cruz Allen,No
1123098,1467048,Oliver Bostock,Ollie Bostock,Nickname Match
751659,1209408,Alex Williams,Alex Williams,No
1029654,1562715,Souleyman Mandey,Souleyman Mandey,No
1087362,1443861,Tom Atcheson,Tom Atcheson,No
732285,1683733,George Pratt,George Pratt,No
890896,1329523,Matty Litherland,Matty Litherland,No
1077242,1512798,Aodhan Doherty,Aodhan Doherty,No
936904,1446731,Brandon Powell,Brandon Powell,Fixed
810092,1367615,Warren Zaïre-Emery,Warren Zaïre-Emery,No
659089,1140003,Ilya Zabarnyi,Ilya Zabarnyi,No
487469,1061249,Vitinha,Vitinha,No
661171,1137670,Willian Pacho,Willian Pacho,No
708265,1297165,Bradley Barcola,Bradley Barcola,No
281963,504606,Lucas Hernández,Lucas Hernández,No
903693,1574189,Senny Mayulu,Senny Mayulu,No
872171,1255209,Lucas Beraldo,Lucas Beraldo,No
463600,1177131,Lucas Chevalier,Lucas Chevalier,No
557149,940976,Kang-In Lee,Kang-in Lee,No
502670,900433,Khvicha Kvaratskhelia,Khvicha Kvaratskhelia,No
398073,770881,Achraf Hakimi,Achraf Hakimi,No
914562,1339208,Désiré Doué,Désiré Doué,No
318470,800880,Matvey Safonov,Matvey Safonov,No
670681,1342757,João Neves,João Neves,No
616341,1158945,Nuno Mendes,Nuno Mendes,No
350219,605654,Fabián Ruiz,Fabián Ruiz,No
288230,692984,Ousmane Dembélé,Ousmane Dembélé,No
181767,267365,Marquinhos,Marquinhos,No
1185888,1593857,Ibrahim Mbaye,Ibrahim Mbaye,No
1071596,1682313,Dro Fernández,Dro Fernández,No
1053208,1699549,Quentin Ndjantou,Quentin Ndjantou,No
1053148,1697720,Naoufel El Hannach,Naoufel El Hannach,Yes
344886,660326,Matthieu Udol,Matthieu Udol,No
743515,1390336,Robin Risser,Robin Risser,No
415383,695405,Hervé Koffi,Herve Koffi,Yes
184892,254308,Florian Thauvin,Florian Thauvin,No
808348,1185211,Mamadou Sangaré,Mamadou Sangaré,No
1020191,1406645,Ismaëlo Ganiou,Ismaëlo Ganiou,No
182916,445856,Wesley Saïd,Wesley Saïd,No
655217,1276626,Samson Baidoo,Samson Baidoo,No
344152,637746,Odsonne Édouard,Odsonne Édouard,No
203746,561046,Ruben Aguilar,Ruben Aguilar,No
631927,1002617,Saud Abdulhamid,Saud Abdulhamid,No
917778,1401248,Rémy Lascary,Remy Labeau Lascary,Fixed
126557,513072,Jonathan Gradit,Jonathan Gradit,No
1160814,1586559,Rayan Fofana,Rayan Fofana,No
986291,1634789,Andrija Bulatovic,Andrija Bulatovic,No
776798,1189856,Abdallah Sima,Abdallah Sima,No
525140,864154,Goduine Koyalipou,Goduine Koyalipou,Yes
819566,1657810,Nidal Celik,Nidal Celik,No
354726,612699,Florian Sotoca,Florian Sotoca,No
402008,688830,Amadou Haidara,Amadou Haidara,No
1186789,1685514,Kyllian Antonio,Kyllian Antonio,No
60543,186811,Mathieu Gorgelin,Mathieu Gorgelin,No
1297674,1980586,Mezian Soares,Mezian�Mesloub,Fixed
1176271,1642840,Erawan Garnier,Erawan Garnier,No
1179130,1703571,Gabin Capuano,Gabin Capuano,Yes
361256,815912,Berke Özer,Berke Özer,No
652275,1044470,Hákon Arnar Haraldsson,Hákon Arnar Haraldsson,No
80293,210683,Aïssa Mandi,Aïssa Mandi,No
548254,1252070,Nathan Ngoy,Nathan Ngoy,No
724129,1444231,Matias Fernandez-Pardo,Matías Fernández-Pardo,No
1097139,1561552,Ayyoub Bouaddi,Ayyoub Bouaddi,No
84301,148830,Benjamin André,Benjamin André,No
318523,815465,Romain Perraud,Romain Perraud,No
479648,942358,Félix Correia,Félix Correia,No
82442,46469,Olivier Giroud,Olivier Giroud,No
1016015,1428153,Ngal Ayel Mukau,Ngal'ayel Mukau,No
245537,500520,Nabil Bentaleb,Nabil Bentaleb,No
203348,277761,Chancel Mbemba,Chancel Mbemba,No
258364,622137,Calvin Verdonk,Calvin Verdonk,No
816580,1397857,Tiago Santos,Tiago Santos,No
903666,1426809,Ethan Mbappé,Ethan Mbappé,No
648020,1186553,Alexsandro Ribeiro,Alexsandro,No
580657,988160,Osame Sahraoui,Osame Sahraoui,No
885445,1421275,Hamza Igamane,Hamza Igamane,No
1078326,1603990,Noah Edjouma,Noah Edjouma,No
353404,708435,Gaëtan Perrin,Gaëtan Perrin,No
903359,1276934,Marius Broholm,Marius Broholm,No
417278,841705,Arnaud Bodart,Arnaud Bodart,No
1184007,1684579,Soriba Diaoune,Soriba Diaoune,No
990732,1526224,Ousmane Touré,Ousmane Touré,No
1306455,1793784,Maxima Goffi,Maxima Goffi,Yes
707230,1335102,Ugo Raghouber,Ugo Raghouber,Yes
810789,1592418,Lisandru Olmeta,Lisandru Olmeta,Yes
187718,266105,Clinton Mata,Clinton Mata,No
291200,592102,Moussa Niakhaté,Moussa Niakhaté,No
316884,651910,Dominik Greif,Dominik Greif,No
618494,1113724,Tyler Morton,Tyler Morton,No
285845,604089,Ainsley Maitland-Niles,Ainsley Maitland-Niles,No
190393,473852,Corentin Tolisso,Corentin Tolisso,No
646402,1060604,Abner,Abner,No
670096,1057433,Tanner Tessmann,Tanner Tessmann,No
500053,1037539,Pavel Sulc,Pavel Sulc,No
131225,195750,Nicolás Tagliafico,Nicolás Tagliafico,No
971570,1406729,Endrick,Endrick,No
1187942,1793640,Khalis Merah,Khalis Merah,No
578421,1125076,Ruben Kluivert,Ruben Kluivert,No
743386,1364069,Malick Fofana,Malick Fofana,No
802515,1368710,Noah Nartey,Noah Nartey,No
1097113,1896949,Kail Boudache,Kail Boudache,Yes
282028,767014,Rémy Descamps,Rémy Descamps,No
289592,765693,Orel Mangala,Orel Mangala,No
1004486,1739906,Mathys de Carvalho,Mathys de Carvalho,No
118287,210120,Rachid Ghezzal,Rachid Ghezzal,No
1200423,1793704,Rémi Himbert,Rémi Himbert,No
1119391,1922172,Steeve Kango,Steeve Kango,No
955070,1338390,Ernest Nuamah,Ernest Nuamah,No
1301102,1853988,Adil Hamdani,Adil Hamdani,Yes
1106860,1647188,Enzo Molébé,Enzo Molebe,Yes
1275040,1744188,Noham Kamara,Noham Kamara,No
1108478,1603531,Alejandro Rodríguez,Alejandro Rodriguez,Fixed
167799,266523,Pierre-Emile Højbjerg,Pierre-Emile Højbjerg,No
229604,245555,Gerónimo Rulli,Gerónimo Rulli,No
370846,889536,Timothy Weah,Timothy Weah,No
181778,267371,Emerson,Emerson,No
58864,150565,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,No
653610,1265963,Igor Paixão,Igor Paixão,No
575998,958464,Leonardo Balerdi,Leonardo Balerdi,No
807165,1287489,Bamo Meité,Bamo Meite,Yes
361914,617310,Nayef Aguerd,Nayef Aguerd,No
474800,812652,Facundo Medina,Facundo Medina,No
418659,844437,Amine Gouiri,Amine Gouiri,No
420213,970563,Quinten Timber,Quinten Timber,No
592979,956659,Himad Abdelli,Himad Abdelli,No
392770,848667,Angel Gomes,Angel Gomes,Fixed
581669,1187227,CJ Egan-Riley,CJ Egan-Riley,No
391065,875672,Hamed Traorè,Hamed Traoré,No
127189,214972,Geoffrey Kondogbia,Geoffrey Kondogbia,No
315253,687868,Jeffrey De Lange,Jeffrey de Lange,No
920470,1353104,Tochukwu Nnadi,Tochukwu Nnadi,No
192616,520979,Ulisses Garcia,Ulisses Garcia,Yes
328609,847629,Derek Cornelius,Derek Cornelius,Yes
1117771,1843478,Ange Lago,Ange Lago,Yes
1164662,1698484,Nouhoum Kamissoko,Nouhoum Kamissoko,Yes
1070591,1827754,Hilan Hamzaoui Slimani,Hilan Hamzaoui Slimani,Yes
568698,1103837,Issa Soumaré,Issa Soumare,Yes
191056,279714,Brice Samba,Brice Samba,No
