tm_competition_id,fotmob_league_id,score,tm_league_name,fotmob_league_name
SFA1,537,100,Betway Premiership,Premier Soccer League
RSK1,9080,100,K League 1,K League 1
RSK2,9116,100,K League 2,K League 2
ES1,87,100,LaLiga,LaLiga
ES2,140,100,LaLiga2,LaLiga2
E3G1,8968,100,Primera Federacion - Grupo I,Primera Federaci贸n
E3G2,8968,100,Primera Federacion - Grupo II,Primera Federaci贸n
E4G1,9138,100,Segunda Federacion - Grupo I,Segunda Federaci贸n
E4G2,9138,100,Segunda Federacion - Grupo II,Segunda Federaci贸n
E4G3,9138,100,Segunda Federacion - Grupo III,Segunda Federaci贸n
E4G4,9138,100,Segunda Federacion - Grupo IV,Segunda Federaci贸n
E4G5,9138,100,Segunda Federacion - Grupo V,Segunda Federaci贸n
SE1,67,100,Allsvenskan,Allsvenskan
SE2,168,100,Superettan,Superettan
SE3N,169,100,Ettan Norra,Ettan
SE3S,169,100,Ettan S鰀ra,Ettan
C1,69,100,Super League,Swiss Super League
C2,163,100,Challenge League,Challenge League
THA1,8984,100,Thai League,Thai League
THA2,9498,100,Thai League 2,Thai League 2
TUN1,544,100,Ligue 1,Ligue I
TR1,71,100,Super Lig,S眉per Lig
TR2,165,100,1.Lig,1. Lig
UKR1,441,100,Premier Liga,Ukrainian Premier League
UAE1,538,100,UAE Pro League,Pro League
MLS1,130,100,Major League Soccer,MLS
USL,8972,100,USL Championship,USL Championship
USC3,9296,100,USL League One,USL League One
MNP3,10282,100,MLS Next Pro,MLS Next Pro
URU1,161,100,Liga AUF Apertura,Liga AUF Uruguaya
URUI,161,100,Liga AUF Intermedio,Liga AUF Uruguaya
URU2,9122,100,Segunda Division - Fase Regular,Segunda Division
UR2T,9122,100,Segunda Divisi髇 - Torneo Competencia,Segunda Division
VZ1A,339,100,Liga FUTVE Apertura,Primera Division
VIE1,9088,100,V.League 1,V-League
WAL1,116,100,Cymru Premier,Cymru Premier
