tm_team_id,fotmob_team_id,tm_name,fotmob_name,
41101,956184,Juventus Next Gen,Juventus Next Gen,
41110,1524591,Atalanta U23,Atalanta U23,
41119,1790497,Inter U23,Inter U23,
44223,568741,AS Giana Erminio,Giana Erminio,
46337,770928,Pineto Calcio,Pineto,
49430,674807,AZ Picerno,AZ Picerno,
52687,655295,Alcione Milano,Alcione,
91510,1295924,Dolomiti Bellunesi,Dolomiti Bellunesi,
132806,189481,Union Brescia,Union Brescia,
46619,583958,Arzignano Valchiampo,ArzignanoChiampo,
26789,189486,FC Pro Vercelli 1892,Pro Vercelli,
29251,474519,Virtusvecomp Verona,Virtus Verona,
45894,1667898,Guidonia Montecelio 1937 FC,Guidonia Montecelio,
16,9789,Borussia Dortmund,Borussia Dortmund,
23826,178475,RB Leipzig,RB Leipzig,
79,10269,VfB Stuttgart,VfB Stuttgart,
533,8226,TSG 1899 Hoffenheim,Hoffenheim,
60,8358,SC Freiburg,Freiburg,
24,9810,Eintracht Frankfurt,Eintracht Frankfurt,
167,8406,FC Augsburg,Augsburg,
39,9905,1.FSV Mainz 05,Mainz 05,
89,8149,1.FC Union Berlin,Union Berlin,
18,9788,Borussia MÃ¶nchengladbach,Borussia MÃ¶nchengladbach,
41,9790,Hamburger SV,Hamburger SV,
3,8722,1.FC KÃ¶ln,1. FC KÃ¶ln,
86,8697,SV Werder Bremen,Werder Bremen,
82,8721,VfL Wolfsburg,Wolfsburg,
35,8152,FC St. Pauli,St. Pauli,
33,10189,FC Schalke 04,Schalke 04,
64,8232,SV 07 Elversberg,Elversberg,
127,8460,SC Paderborn 07,Paderborn,
42,9904,Hannover 96,Hannover 96,
105,8262,SV Darmstadt 98,Darmstadt,
2,8350,1.FC Kaiserslautern,Kaiserslautern,
44,8177,Hertha BSC,Hertha BSC,
80,9911,VfL Bochum,Bochum,
48,8295,Karlsruher SC,Karlsruher SC,
129,8480,SG Dynamo Dresden,Dynamo Dresden,
269,8150,Holstein Kiel,Holstein Kiel,
10,9912,Arminia Bielefeld,Arminia Bielefeld,
187,8188,1.FC Magdeburg,Magdeburg,
23,9776,Eintracht Braunschweig,Eintracht Braunschweig,
65,8357,SpVgg Greuther FÃ¼rth,Greuther FÃ¼rth,
38,8194,Fortuna DÃ¼sseldorf,Fortuna DÃ¼sseldorf,
91,8171,PreuÃŸen MÃ¼nster,Preussen MÃ¼nster,
81,9775,VfL OsnabrÃ¼ck,VfL OsnabrÃ¼ck,
25,8398,FC Energie Cottbus,Energie Cottbus,
52,8293,MSV Duisburg,MSV Duisburg,
30,8294,FC Hansa Rostock,Hansa Rostock,
93,7783,SC Verl,SC Verl,
8,8396,Alemannia Aachen,Alemannia Aachen,
108,8196,SV Wehen Wiesbaden,Wehen Wiesbaden,
85,9743,SV Waldhof Mannheim,Waldhof Mannheim,
4795,8234,FC Ingolstadt 04,Ingolstadt,
109,7789,SSV Jahn Regensburg,Jahn Regensburg,
102,8458,VfB Stuttgart II,VfB Stuttgart II,
1,8271,1.FC SaarbrÃ¼cken,SaarbrÃ¼cken,
476,89338,TSV Havelse,TSV Havelse,
94,8319,FC Erzgebirge Aue,Erzgebirge Aue,
69,8201,SSV Ulm 1846,Ulm,
247,79904,SV Meppen,Meppen,
10213,145626,SV Drochtersen/Assel,SV Drochtersen/Assel,
166,79905,VfB Oldenburg,Oldenburg,
6776,343377,SSV Jeddeloh II,SSV Jeddeloh,
2773,1072445,1.FC PhÃ¶nix LÃ¼beck,1. FC PhÃ¶nix LÃ¼beck,
1065,8167,Hannover 96 II,Hannover 96 II,
1328,145705,Bremer SV,Bremer SV,
139,8192,Kickers Emden,Kickers Emden,
10284,177082,SC Weiche Flensburg 08,SC Weiche Flensburg,
389,8187,Hamburger SV II,Hamburger SV II,
78,8663,VfB LÃ¼beck,LÃ¼beck,
87,8162,SV Werder Bremen II,Werder Bremen II,
3925,765375,HSC Hannover,HSC Hannover,
37381,1381258,FSV SchÃ¶ningen,SchÃ¶ningen,
117,145723,Eintracht Norderstedt,Eintracht Norderstedt,
225,4478,FC St. Pauli II,St. Pauli II,
4883,1168410,Blau-WeiÃŸ Lohne,Blau-Weiss Lohne,
113,8320,FC Carl Zeiss Jena,Carl Zeiss Jena,
275,95202,FSV Zwickau,FSV Zwickau,
440,7761,Hallescher FC,Hallescher FC,
17847,339999,VSG Altglienicke,VSG Altglienicke,
21,6596,Chemnitzer FC,Chemnitzer FC,
4700,95189,BFC Preussen,BFC Preussen,
6649,145598,1.FC Magdeburg II,Magdeburg II,
90,7775,SV Babelsberg 03,Babelsberg,
222,95192,BFC Dynamo,BFC Dynamo,
9572,586031,BSG Chemie Leipzig,BSG Chemie Leipzig,
48991,95195,Greifswalder FC,Greifswalder FC,
2643,95209,ZFC Meuselwitz,ZFC Meuselwitz,
4825,95205,FC Eilenburg,FC Eilenburg,
92,7786,SC Fortuna KÃ¶ln,Fortuna KÃ¶ln,
57,7782,Rot-WeiÃŸ Oberhausen,Oberhausen,
34,8198,FC Schalke 04 II,Schalke 04 II,
220,6200,FC GÃ¼tersloh,FC GÃ¼tersloh,
17,8395,Borussia Dortmund II,Borussia Dortmund II,
1006,8278,Borussia MÃ¶nchengladbach II,Borussia MÃ¶nchengladbach II,
63,9757,Sportfreunde Siegen,Sportfreunde Siegen,
6604,657648,SC Paderborn 07 II,SC Paderborn 07 II,
215,95047,Bonner SC,Bonner SC,
668,95103,Sportfreunde Lotte,Sportfreunde Lotte,
4690,95052,Fortuna DÃ¼sseldorf II,Fortuna DÃ¼sseldorf II,
446,8200,VfL Bochum II,Bochum II,
26957,465376,SV RÃ¶dinghausen,SV RÃ¶dinghausen,
4955,95106,SC WiedenbrÃ¼ck,SC WiedenbrÃ¼ck,
954,2564,SSVg Velbert 02,Velbert,
2589,94941,SG Sonnenhof GroÃŸaspach,Sonnenhof GroÃŸaspach,
435,94935,SGV Freiberg,Freiberg,
293,88885,FSV Frankfurt,FSV Frankfurt,
459,1734,FC 08 Homburg,Homburg,
39470,557592,TSV Steinbach Haiger,TSV Steinbach,
373,8253,KSV Hessen Kassel,Hessen Kassel,
71,8195,Stuttgarter Kickers,Stuttgarter Kickers,
254,8086,SV Sandhausen,Sandhausen,
851,8397,1.FSV Mainz 05 II,Mainz 05 II,
66588,465626,SG Barockstadt Fulda-Lehnerz,SG Barockstadt Fulda Lehnerz,
245,6594,SC Freiburg II,Freiburg II,
107,8407,Kickers Offenbach,Kickers Offenbach,
4900,95039,FC Bayern Alzenau,Bayern Alzenau,
9695,555501,TSV Schott Mainz,TSV Schott Mainz,
834,145498,TSG Balingen,TSG Balingen,
1193,2393,Bahlinger SC,Bahlinger SC,
1557,145486,WÃ¼rzburger Kickers,WÃ¼rzburger Kickers,
66,8486,SpVgg Unterhaching,Unterhaching,
1468,145501,FV Illertissen,FV Illertissen,
1471,557352,DJK Vilzing,DJK Vilzing,
1316,340719,TSV Aubstadt,TSV Aubstadt,
5646,340732,VfB EichstÃ¤tt,VfB EichstÃ¤tt,
110,8408,SV Wacker Burghausen,Burghausen,
615,1711,SpVgg Ansbach,Ansbach,
7679,145484,TSV Buchbach,TSV Buchbach,
1712,94950,FC Memmingen,FC Memmingen,
752,7792,SpVgg Bayreuth,SpVgg Bayreuth,
5379,338321,FC Augsburg II,Augsburg II,
393,94947,SpVgg Greuther FÃ¼rth II,Greuther FÃ¼rth II,
565,95026,SV Viktoria Aschaffenburg,Viktoria Aschaffenburg,
8336,340734,SpVgg Hankofen-Hailing,SpVgg Hankofen-Hailing,
27,9823,Bayern Munich,Bayern MÃ¼nchen,
15,8178,Bayer 04 Leverkusen,Bayer Leverkusen,
2036,94937,1.FC Heidenheim 1846,FC Heidenheim,
